,Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
0,OS,0.0,0.3236514522821577,-0.012631144794164051,0.04347826086956521
1,RDP,0.0,1.0,1.0,0.9967526610138914
2,OS,0.01,0.6721991701244814,0.0,0.04347826086956521
3,RDP,0.01,0.970954356846473,0.9334438000552334,0.7674544470503337
4,OS,0.02,0.6721991701244814,0.0,0.04510193036261951
5,RDP,0.02,0.9543568464730291,0.8947222111909773,0.6388237416561429
6,OS,0.03,0.6639004149377593,-0.0164540484248894,0.07198268085874072
7,RDP,0.03,0.9253112033195021,0.8260067383282529,0.5372541944795237
8,OS,0.04,0.7053941908713693,0.18639151728400927,0.0961573155331048
9,RDP,0.04,0.8755186721991701,0.7138220392653578,0.4616633591917735
10,OS,0.05,0.6763485477178424,0.1979691099923202,0.10445607071982678
11,RDP,0.05,0.8796680497925311,0.7295801895917973,0.4057369655421252
12,OS,0.06,0.6016597510373444,0.10193307972983456,0.11131156413494495
13,RDP,0.06,0.8713692946058091,0.7127753642689632,0.3664080822659209
14,OS,0.07,0.44398340248962653,-0.11682113708673403,0.12087317337182028
15,RDP,0.07,0.8589211618257261,0.6859814516747145,0.33140898430452825
16,OS,0.08,0.37344398340248963,-0.17424413539414685,0.12772866678693845
17,RDP,0.08,0.8464730290456431,0.6504919060870928,0.3016417102651993
18,OS,0.09,0.3360995850622407,-0.1720364741641336,0.13476456792350708
19,RDP,0.09,0.8423236514522822,0.6467911138537488,0.2787299296409886
20,OS,0.1,0.35684647302904565,-0.1102029898653667,0.13927476095976907
21,RDP,0.1,0.8589211618257261,0.6756649778340722,0.2585242648385351
22,OS,0.11,0.38589211618257263,-0.042070819212340904,0.143784953996031
23,RDP,0.11,0.8589211618257261,0.6735198023746912,0.24535450117265017
24,OS,0.12,0.4315352697095436,0.037713852700300254,0.15190330146130254
25,RDP,0.12,0.8423236514522822,0.6326808920263116,0.23164351434241384
26,OS,0.13,0.45643153526970953,0.08428807610871014,0.15659390221901498
27,RDP,0.13,0.8215767634854771,0.5829610849531168,0.2204582356124842
28,OS,0.14,0.49377593360995853,0.12831307441446782,0.16723795778459316
29,RDP,0.14,0.8132780082987552,0.5606287728396062,0.2132419267544651
30,OS,0.15,0.5311203319502075,0.18256040822452346,0.1748150820855133
31,RDP,0.15,0.8132780082987552,0.563563926113727,0.206025617896446
32,OS,0.16,0.5601659751037344,0.2195881957597604,0.18167057550063143
33,RDP,0.16,0.8132780082987552,0.5721387146407859,0.1991701244813278
34,OS,0.17,0.6016597510373444,0.27482447342026084,0.19195381562330868
35,RDP,0.17,0.8008298755186722,0.5451042076287849,0.19393830055926395
36,OS,0.18,0.6639004149377593,0.35277344915619513,0.20638643333934692
37,RDP,0.18,0.7925311203319502,0.5261502162799843,0.189067292080101
38,OS,0.19,0.7302904564315352,0.4659234257270465,0.21847375067652897
39,RDP,0.19,0.7966804979253111,0.5371379296829067,0.18509832220819047
40,OS,0.2,0.7593360995850622,0.5109851665267282,0.22532924409164712
41,RDP,0.2,0.7883817427385892,0.5213598660383971,0.17896445967887423
42,OS,0.21,0.8174273858921162,0.6156299840510366,0.2374165614288291
43,RDP,0.21,0.7925311203319502,0.5292233161431474,0.17391304347826084
44,OS,0.22,0.8257261410788381,0.6263565891472869,0.24300920079379396
45,RDP,0.22,0.7966804979253111,0.5371379296829067,0.16868121955619697
46,OS,0.23,0.8506224066390041,0.6737364620938628,0.24878224788020925
47,RDP,0.23,0.7883817427385892,0.5213598660383971,0.1609236875338264
48,OS,0.24,0.8464730290456431,0.6636236749783093,0.25455529496662455
49,RDP,0.24,0.7883817427385892,0.5182456002822091,0.15713512538336638
50,OS,0.25,0.8464730290456431,0.6615040048589758,0.2581634493956341
51,RDP,0.25,0.8008298755186722,0.5451042076287849,0.15064044741114918
52,OS,0.26,0.8423236514522822,0.6512566641279512,0.26231282698899505
53,RDP,0.26,0.7842323651452282,0.5071962249311837,0.14360454627458052
54,OS,0.27,0.8381742738589212,0.643206924040542,0.2657405736965542
55,RDP,0.27,0.8008298755186722,0.5421152628245725,0.13963557640267
56,OS,0.28,0.8381742738589212,0.6409443404515414,0.26970954356846466
57,RDP,0.28,0.7966804979253111,0.5341066003866335,0.13566660653075946
58,OS,0.29,0.8423236514522822,0.6445151773930595,0.2740393288832762
59,RDP,0.29,0.7966804979253111,0.5341066003866335,0.13097600577304705
60,OS,0.3,0.8464730290456431,0.6549816212033275,0.27710626014793427
61,RDP,0.3,0.7966804979253111,0.5341066003866335,0.12863070539419083
62,OS,0.31,0.8589211618257261,0.6819346324043164,0.28197726862709727
63,RDP,0.31,0.8049792531120332,0.5501767205432668,0.12484214324373082
64,OS,0.32,0.8589211618257261,0.6819346324043164,0.28648746166335914
65,RDP,0.32,0.7883817427385892,0.5086548071157305,0.12069276565036982
66,OS,0.33,0.8547717842323651,0.673631263300445,0.2922605087497745
67,RDP,0.33,0.8049792531120332,0.5379940449484031,0.11726501894281072
68,OS,0.34,0.8589211618257261,0.6819346324043164,0.29767274039328884
69,RDP,0.34,0.8257261410788381,0.5800348518795121,0.11347645679235069
70,OS,0.35000000000000003,0.8630705394190872,0.6922809053975625,0.30128089482229836
71,RDP,0.35000000000000003,0.8340248962655602,0.5915946449754279,0.10968789464189066
72,OS,0.36,0.8672199170124482,0.7006443599099449,0.304167418365506
73,RDP,0.36,0.8381742738589212,0.5975594091201027,0.106801371098683
74,OS,0.37,0.8713692946058091,0.7109305474946799,0.30777557279451556
75,RDP,0.37,0.8257261410788381,0.5587619877942458,0.10499729388417824
76,OS,0.38,0.8796680497925311,0.7313059859290301,0.31264658127367856
77,RDP,0.38,0.8132780082987552,0.5220572032964611,0.10229117806242105
78,OS,0.39,0.8796680497925311,0.7295801895917973,0.3216669673462024
79,RDP,0.39,0.8091286307053942,0.5023343508708924,0.1003066931264658
80,OS,0.4,0.8921161825726142,0.7583307621104598,0.3276204221540682
81,RDP,0.4,0.7966804979253111,0.4638852317610206,0.09832220819051053
82,OS,0.41000000000000003,0.8921161825726142,0.7583307621104598,0.3337542846833845
83,RDP,0.41000000000000003,0.7717842323651453,0.38431882576989174,0.09489446148295144
84,OS,0.42,0.8921161825726142,0.7598681689277229,0.34331589392025974
85,RDP,0.42,0.7551867219917012,0.31852384375748866,0.0920079379397438
86,OS,0.43,0.8879668049792531,0.7482298316889147,0.35269709543568467
87,RDP,0.43,0.7178423236514523,0.20508343034536292,0.08858019123218472
88,OS,0.44,0.8838174273858921,0.7363650570401625,0.3600938120151542
89,RDP,0.44,0.7053941908713693,0.17334170732885634,0.08623489085332851
