,Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
0,OS,0.0,0.9972260748959778,0.0,0.04347826086956521
1,RDP,0.0,1.0,,0.993668214436471
2,OS,0.01,0.7628294036061026,0.0,0.04347826086956521
3,RDP,0.01,1.0,,0.7826086956521737
4,OS,0.02,0.7669902912621359,0.0,0.043960682626786464
5,RDP,0.02,1.0,,0.6277513115841524
6,OS,0.03,0.811373092926491,0.0,0.051377917144063194
7,RDP,0.03,1.0,,0.5292769703913647
8,OS,0.04,0.8779472954230236,0.0,0.06410179099077368
9,RDP,0.04,1.0,,0.4587830911174094
10,OS,0.05,0.9764216366158114,0.0,0.0833986612796237
11,RDP,0.05,1.0,,0.40463124886932395
12,OS,0.06,0.9916782246879334,0.0,0.10679611650485436
13,RDP,0.06,1.0,,0.35687149490442016
14,OS,0.07,0.9958391123439667,0.0,0.1215099801001025
15,RDP,0.07,1.0,,0.3164686727371404
16,OS,0.08,0.9972260748959778,0.0,0.12892721461737924
17,RDP,0.08,1.0,,0.2814327926189471
18,OS,0.09,0.9972260748959778,0.0,0.13592233009708735
19,RDP,0.09,0.9944521497919556,0.0,0.25893987818850633
20,OS,0.1,0.9986130374479889,0.0,0.14177169390339503
21,RDP,0.1,0.9902912621359223,0.0,0.24060785141409877
22,OS,0.11,0.9986130374479889,0.0,0.14593258155942831
23,RDP,0.11,0.9805825242718447,0.0,0.22722064765120908
24,OS,0.12,1.0,,0.14955074473858768
25,RDP,0.12,0.9445214979195562,0.0,0.21576313091720437
26,OS,0.13,1.0,,0.15485738406802146
27,RDP,0.13,0.9278779472954231,0.0,0.20563227401555811
28,OS,0.14,0.9986130374479889,0.0,0.1601640233974552
29,RDP,0.14,0.8987517337031901,0.0,0.19688837966592293
30,OS,0.15,1.0,,0.1644455164927938
31,RDP,0.15,0.8626907073509015,0.0,0.18898872339142495
32,OS,0.16,1.0,,0.1696918531025749
33,RDP,0.16,0.8335644937586685,0.0,0.1821142133510221
34,OS,0.17,1.0,,0.17572212506784055
35,RDP,0.17,0.7891816920943134,0.0,0.1760839413857565
36,OS,0.18,1.0,,0.18151118615449555
37,RDP,0.18,0.7794729542302358,0.0,0.1707169993366701
38,OS,0.19,1.0,,0.1871193390821926
39,RDP,0.19,0.782246879334258,0.0,0.16565157088584695
40,OS,0.2,1.0,,0.19302900560815292
41,RDP,0.2,0.811373092926491,0.0,0.15913887716336006
42,OS,0.21,1.0,,0.1974914068624495
43,RDP,0.21,0.8377253814147018,0.0,0.15184224808538865
44,OS,0.22,1.0,,0.20207441355605135
45,RDP,0.22,0.8626907073509015,0.0,0.14762105770970269
46,OS,0.23,1.0,,0.2068986311282639
47,RDP,0.23,0.869625520110957,0.0,0.14394259181089064
48,OS,0.24,1.0,,0.21395404932762466
49,RDP,0.24,0.8599167822468793,0.0,0.1408671531086052
50,OS,0.25,1.0,,0.21962250497497435
51,RDP,0.25,0.8585298196948682,0.0,0.13568111921847673
52,OS,0.26,1.0,,0.22547186878128203
53,RDP,0.26,0.8432732316227461,0.0,0.13152023156244344
54,OS,0.27,1.0,,0.2321051679430742
55,RDP,0.27,0.8085991678224688,0.0,0.12675631670988358
56,OS,0.28,1.0,,0.23867816438521378
57,RDP,0.28,0.7461858529819695,0.0,0.11945968763191218
58,OS,0.29,1.0,,0.24531146354700595
59,RDP,0.29,0.6879334257975035,0.0,0.1133691129469939
60,OS,0.3,1.0,,0.2514623409515769
