,dataset,model,simp_algorithm,performance,"knee(x,y)",time
0,ProximalPhalanxOutlineCorrectTEST_normalized,logistic-regression_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
1,ProximalPhalanxOutlineCorrectTEST_normalized,logistic-regression_norm.pkl,BU,0.9147982807637293,"(0.04443037974683545, 0.0)",0.28244
2,ProximalPhalanxOutlineCorrectTEST_normalized,logistic-regression_norm.pkl,VW,0.7963753088403833,"(1.0, 1.0)",0.0163426
3,ProximalPhalanxOutlineCorrectTEST_normalized,logistic-regression_norm.pkl,RDP,0.8876938493600592,"(0.13151898734177217, 1.0)",0.5643075
4,ProximalPhalanxOutlineCorrectTEST_normalized,knn_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
5,ItalyPowerDemandTEST_normalized,logistic-regression_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
6,ItalyPowerDemandTEST_normalized,logistic-regression_norm.pkl,BU,0.9147982807637293,"(0.14608695652173911, 0.4471744471744472)",0.0518123
7,MoteStrainTEST_normalized,decision-tree_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
8,MoteStrainTEST_normalized,decision-tree_norm.pkl,BU,0.9147982807637293,"(1.0120481927710847, 1.0)",0.3107724
9,MoteStrainTEST_normalized,decision-tree_norm.pkl,VW,0.7963753088403833,"(1.0, 1.0)",0.0165206
10,MoteStrainTEST_normalized,decision-tree_norm.pkl,RDP,0.8876938493600592,"(0.9951807228915663, 1.0)",0.3652249
11,MoteStrainTEST_normalized,decision-tree_norm.pkl,OS,0.8902797282032829,"(0.529277108433735, 1.0)",29.9230905
12,MoteStrainTEST_normalized,logistic-regression_norm.pkl,OS,0.8902797282032829,"(0.1255421686746988, 0.9596774193548387)",29.9981076
13,MoteStrainTEST_normalized,logistic-regression_norm.pkl,RDP,0.8876938493600592,"(0.028795180722891573, 0.6226415094339622)",0.3691315
14,MoteStrainTEST_normalized,logistic-regression_norm.pkl,VW,0.7963753088403833,"(0.1380722891566265, 1.0)",0.0166100999999999
15,MoteStrainTEST_normalized,logistic-regression_norm.pkl,BU,0.9147982807637293,"(0.04578313253012047, 0.46996466431095407)",0.3119165
16,MoteStrainTEST_normalized,logistic-regression_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
17,MoteStrainTEST_normalized,knn_norm.pkl,OS,0.8902797282032829,"(0.1255421686746988, 0.8954849498327759)",30.0059106
18,MoteStrainTEST_normalized,knn_norm.pkl,RDP,0.8876938493600592,"(0.060722891566265064, 0.6768982229402262)",0.370555
19,MoteStrainTEST_normalized,knn_norm.pkl,VW,0.7963753088403833,"(0.10108433734939762, 0.8944256756756757)",0.0165528
20,MoteStrainTEST_normalized,knn_norm.pkl,BU,0.9147982807637293,"(0.04578313253012047, 0.6550324675324675)",0.3122337
21,MoteStrainTEST_normalized,knn_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
22,GunPointOldVersusYoungTEST_normalized,decision-tree_norm.pkl,OS,0.8902797282032829,"(0.307248322147651, 1.0)",162.4605096
23,GunPointOldVersusYoungTEST_normalized,decision-tree_norm.pkl,RDP,0.8876938493600592,"(0.9991946308724833, 1.0)",0.6135804
24,GunPointOldVersusYoungTEST_normalized,decision-tree_norm.pkl,VW,0.7963753088403833,"(1.0, 1.0)",0.0281975
25,GunPointOldVersusYoungTEST_normalized,decision-tree_norm.pkl,BU,0.9147982807637293,"(1.006711409395973, 1.0)",0.5988085
26,GunPointOldVersusYoungTEST_normalized,decision-tree_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
27,GunPointOldVersusYoungTEST_normalized,logistic-regression_norm.pkl,OS,0.8902797282032829,"(0.307248322147651, 1.0)",162.0715896
28,GunPointOldVersusYoungTEST_normalized,logistic-regression_norm.pkl,RDP,0.8876938493600592,"(0.9991946308724833, 1.0)",0.6416825
29,GunPointOldVersusYoungTEST_normalized,logistic-regression_norm.pkl,VW,0.7963753088403833,"(1.0, 1.0)",0.0561891999999999
30,GunPointOldVersusYoungTEST_normalized,logistic-regression_norm.pkl,BU,0.9147982807637293,"(1.006711409395973, 1.0)",0.6266841
31,GunPointOldVersusYoungTEST_normalized,logistic-regression_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
32,GunPointOldVersusYoungTEST_normalized,knn_norm.pkl,OS,0.8902797282032829,"(0.307248322147651, 1.0)",160.8749651
33,GunPointOldVersusYoungTEST_normalized,knn_norm.pkl,RDP,0.8876938493600592,"(0.9991946308724833, 1.0)",0.6091211
34,GunPointOldVersusYoungTEST_normalized,knn_norm.pkl,VW,0.7963753088403833,"(1.0, 1.0)",0.0300537
35,GunPointOldVersusYoungTEST_normalized,knn_norm.pkl,BU,0.9147982807637293,"(1.006711409395973, 1.0)",0.5977559
36,GunPointOldVersusYoungTEST_normalized,knn_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
37,MiddlePhalanxTWTEST_normalized,decision-tree_norm.pkl,OS,0.8902797282032829,"(0.20189873417721518, 0.8260869565217391)",26.1753853
38,MiddlePhalanxTWTEST_normalized,decision-tree_norm.pkl,RDP,0.8876938493600592,"(0.12518987341772156, 0.5942028985507246)",0.5114138
39,MiddlePhalanxTWTEST_normalized,decision-tree_norm.pkl,VW,0.7963753088403833,"(0.21417721518987343, 0.7761611639619475)",0.0164833
40,MiddlePhalanxTWTEST_normalized,decision-tree_norm.pkl,BU,0.9147982807637293,"(0.1037974683544304, 0.5108135942327499)",0.2933789
41,MiddlePhalanxTWTEST_normalized,decision-tree_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
42,MiddlePhalanxTWTEST_normalized,logistic-regression_norm.pkl,OS,0.8902797282032829,"(0.14481012658227846, 1.0)",26.2082413
43,MiddlePhalanxTWTEST_normalized,logistic-regression_norm.pkl,RDP,0.8876938493600592,"(0.12518987341772156, 0.929128277817151)",0.51418
44,MiddlePhalanxTWTEST_normalized,logistic-regression_norm.pkl,VW,0.7963753088403833,"(0.1672151898734177, 1.0)",0.0165509
45,MiddlePhalanxTWTEST_normalized,logistic-regression_norm.pkl,BU,0.9147982807637293,"(0.1037974683544304, 0.725943970767357)",0.2945411
46,MiddlePhalanxTWTEST_normalized,logistic-regression_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
47,MiddlePhalanxTWTEST_normalized,knn_norm.pkl,OS,0.8902797282032829,"(0.4492405063291139, 0.858356940509915)",26.1464419
48,MiddlePhalanxTWTEST_normalized,knn_norm.pkl,RDP,0.8876938493600592,"(0.09037974683544306, 0.5233050847457628)",0.5131912
49,MiddlePhalanxTWTEST_normalized,knn_norm.pkl,VW,0.7963753088403833,"(0.21417721518987343, 0.7648902821316614)",0.0165286
50,MiddlePhalanxTWTEST_normalized,knn_norm.pkl,BU,0.9147982807637293,"(0.1037974683544304, 0.37252311756935275)",0.2943909
51,MiddlePhalanxTWTEST_normalized,knn_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
52,ECG200TEST_normalized,decision-tree_norm.pkl,OS,0.8902797282032829,"(0.18496240601503763, 0.8539638386648123)",25.3435969
53,ECG200TEST_normalized,decision-tree_norm.pkl,RDP,0.8876938493600592,"(0.052781954887218055, 0.6115906288532675)",0.3817672
54,ECG200TEST_normalized,decision-tree_norm.pkl,VW,0.7963753088403833,"(0.13263157894736843, 0.8113207547169812)",0.0126695
55,ECG200TEST_normalized,decision-tree_norm.pkl,BU,0.9147982807637293,"(0.06285714285714285, 0.6592489568845619)",0.1732895
56,ECG200TEST_normalized,decision-tree_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
57,ECG200TEST_normalized,logistic-regression_norm.pkl,OS,0.8902797282032829,"(0.10962406015037593, 0.9190751445086706)",25.2740144
58,ECG200TEST_normalized,logistic-regression_norm.pkl,RDP,0.8876938493600592,"(0.08751879699248119, 0.8810872027180068)",0.3818591
59,ECG200TEST_normalized,logistic-regression_norm.pkl,VW,0.7963753088403833,"(0.13263157894736843, 1.0)",0.0127215
60,ECG200TEST_normalized,logistic-regression_norm.pkl,BU,0.9147982807637293,"(0.06285714285714285, 0.8446170921198668)",0.1708621
61,ECG200TEST_normalized,logistic-regression_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
62,ECG200TEST_normalized,knn_norm.pkl,OS,0.8902797282032829,"(0.10962406015037593, 0.7986852917009039)",25.2721006
63,ECG200TEST_normalized,knn_norm.pkl,RDP,0.8876938493600592,"(0.052781954887218055, 0.5412490362374711)",0.3710813
64,ECG200TEST_normalized,knn_norm.pkl,VW,0.7963753088403833,"(0.1581954887218045, 0.9113924050632911)",0.0138986
65,ECG200TEST_normalized,knn_norm.pkl,BU,0.9147982807637293,"(0.06285714285714285, 0.41710825132475393)",0.1703588
66,ECG200TEST_normalized,knn_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
67,SonyAIBORobotSurface1TEST_normalized,decision-tree_norm.pkl,OS,0.8902797282032829,"(0.19536231884057972, 0.858356940509915)",17.6319719
68,SonyAIBORobotSurface1TEST_normalized,decision-tree_norm.pkl,RDP,0.8876938493600592,"(0.2034782608695652, 0.858356940509915)",0.4180809
69,SonyAIBORobotSurface1TEST_normalized,decision-tree_norm.pkl,VW,0.7963753088403833,"(0.24681159420289855, 0.8962655601659751)",0.0146136
70,SonyAIBORobotSurface1TEST_normalized,decision-tree_norm.pkl,BU,0.9147982807637293,"(0.11260869565217395, 0.48484848484848486)",0.2439507
71,SonyAIBORobotSurface1TEST_normalized,decision-tree_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
72,SonyAIBORobotSurface1TEST_normalized,logistic-regression_norm.pkl,OS,0.8902797282032829,"(0.19536231884057972, 1.0)",17.6695034
73,SonyAIBORobotSurface1TEST_normalized,logistic-regression_norm.pkl,RDP,0.8876938493600592,"(0.87231884057971, 1.0)",0.4206984
74,SonyAIBORobotSurface1TEST_normalized,logistic-regression_norm.pkl,VW,0.7963753088403833,"(1.0, 1.0)",0.0145028
75,SonyAIBORobotSurface1TEST_normalized,logistic-regression_norm.pkl,BU,0.9147982807637293,"(1.0144927536231882, 1.0)",0.2424976
76,SonyAIBORobotSurface1TEST_normalized,logistic-regression_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
77,SonyAIBORobotSurface1TEST_normalized,knn_norm.pkl,OS,0.8902797282032829,"(0.7766666666666666, 1.0)",17.5736143
78,SonyAIBORobotSurface1TEST_normalized,knn_norm.pkl,RDP,0.8876938493600592,"(0.87231884057971, 1.0)",0.4225419
79,SonyAIBORobotSurface1TEST_normalized,knn_norm.pkl,VW,0.7963753088403833,"(1.0, 1.0)",0.0144888
80,SonyAIBORobotSurface1TEST_normalized,knn_norm.pkl,BU,0.9147982807637293,"(1.0144927536231882, 1.0)",0.2436074
81,SonyAIBORobotSurface1TEST_normalized,knn_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
82,ElectricDevicesTEST_normalized,knn_norm.pkl,OS,0.8902797282032829,"(0.16768421052631577, 1.0)",43.4905681
83,ElectricDevicesTEST_normalized,knn_norm.pkl,RDP,0.8876938493600592,"(0.17600000000000005, 1.0)",0.488108
84,ElectricDevicesTEST_normalized,knn_norm.pkl,VW,0.7963753088403833,"(1.0, 1.0)",0.0180762
