dataset,model,simp_algorithm,performance,"knee(x,y)",time
ProximalPhalanxOutlineCorrectTEST_normalized,logistic-regression_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
ProximalPhalanxOutlineCorrectTEST_normalized,logistic-regression_norm.pkl,BU,0.447151898734177,"(0.04443037974683545, 0.0)",0.28244
ProximalPhalanxOutlineCorrectTEST_normalized,logistic-regression_norm.pkl,VW,0.872784810126582,"(1.0, 1.0)",0.0163426
ProximalPhalanxOutlineCorrectTEST_normalized,logistic-regression_norm.pkl,RDP,0.896518987341772,"(0.13151898734177217, 1.0)",0.5643075
ProximalPhalanxOutlineCorrectTEST_normalized,knn_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
ItalyPowerDemandTEST_normalized,logistic-regression_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
ItalyPowerDemandTEST_normalized,logistic-regression_norm.pkl,BU,0.662131562443479,"(0.14608695652173911, 0.4471744471744472)",0.0518123
MoteStrainTEST_normalized,decision-tree_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
MoteStrainTEST_normalized,decision-tree_norm.pkl,BU,0.987951807228916,"(1.0120481927710847, 1.0)",0.3107724
MoteStrainTEST_normalized,decision-tree_norm.pkl,VW,0.955301204819277,"(1.0, 1.0)",0.0165206
MoteStrainTEST_normalized,decision-tree_norm.pkl,RDP,0.983132530120482,"(0.9951807228915663, 1.0)",0.3652249
MoteStrainTEST_normalized,decision-tree_norm.pkl,OS,0.517228915662651,"(0.529277108433735, 1.0)",29.9230905
MoteStrainTEST_normalized,logistic-regression_norm.pkl,OS,0.461716316316737,"(0.1255421686746988, 0.9596774193548387)",29.9981076
MoteStrainTEST_normalized,logistic-regression_norm.pkl,RDP,0.782155781873107,"(0.028795180722891573, 0.6226415094339622)",0.3691315
MoteStrainTEST_normalized,logistic-regression_norm.pkl,VW,0.935293818118614,"(0.1380722891566265, 1.0)",0.0166100999999999
MoteStrainTEST_normalized,logistic-regression_norm.pkl,BU,0.718808890750186,"(0.04578313253012047, 0.46996466431095407)",0.3119165
MoteStrainTEST_normalized,logistic-regression_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
MoteStrainTEST_normalized,knn_norm.pkl,OS,0.445135480327306,"(0.1255421686746988, 0.8954849498327759)",30.0059106
MoteStrainTEST_normalized,knn_norm.pkl,RDP,0.805450110758585,"(0.060722891566265064, 0.6768982229402262)",0.370555
MoteStrainTEST_normalized,knn_norm.pkl,VW,0.895723383059073,"(0.10108433734939762, 0.8944256756756757)",0.0165528
MoteStrainTEST_normalized,knn_norm.pkl,BU,0.811018614824741,"(0.04578313253012047, 0.6550324675324675)",0.3122337
MoteStrainTEST_normalized,knn_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
GunPointOldVersusYoungTEST_normalized,decision-tree_norm.pkl,OS,0.300536912751678,"(0.307248322147651, 1.0)",162.4605096
GunPointOldVersusYoungTEST_normalized,decision-tree_norm.pkl,RDP,0.99248322147651,"(0.9991946308724833, 1.0)",0.6135804
GunPointOldVersusYoungTEST_normalized,decision-tree_norm.pkl,VW,0.966845637583893,"(1.0, 1.0)",0.0281975
GunPointOldVersusYoungTEST_normalized,decision-tree_norm.pkl,BU,0.993288590604027,"(1.006711409395973, 1.0)",0.5988085
GunPointOldVersusYoungTEST_normalized,decision-tree_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
GunPointOldVersusYoungTEST_normalized,logistic-regression_norm.pkl,OS,0.300536912751678,"(0.307248322147651, 1.0)",162.0715896
GunPointOldVersusYoungTEST_normalized,logistic-regression_norm.pkl,RDP,0.99248322147651,"(0.9991946308724833, 1.0)",0.6416825
GunPointOldVersusYoungTEST_normalized,logistic-regression_norm.pkl,VW,0.966845637583893,"(1.0, 1.0)",0.0561891999999999
GunPointOldVersusYoungTEST_normalized,logistic-regression_norm.pkl,BU,0.993288590604027,"(1.006711409395973, 1.0)",0.6266841
GunPointOldVersusYoungTEST_normalized,logistic-regression_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
GunPointOldVersusYoungTEST_normalized,knn_norm.pkl,OS,0.300536912751678,"(0.307248322147651, 1.0)",160.8749651
GunPointOldVersusYoungTEST_normalized,knn_norm.pkl,RDP,0.99248322147651,"(0.9991946308724833, 1.0)",0.6091211
GunPointOldVersusYoungTEST_normalized,knn_norm.pkl,VW,0.966845637583893,"(1.0, 1.0)",0.0300537
GunPointOldVersusYoungTEST_normalized,knn_norm.pkl,BU,0.993288590604027,"(1.006711409395973, 1.0)",0.5977559
GunPointOldVersusYoungTEST_normalized,knn_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
MiddlePhalanxTWTEST_normalized,decision-tree_norm.pkl,OS,0.605720616216421,"(0.20189873417721518, 0.8260869565217391)",26.1753853
MiddlePhalanxTWTEST_normalized,decision-tree_norm.pkl,RDP,0.596868905292706,"(0.12518987341772156, 0.5942028985507246)",0.5114138
MiddlePhalanxTWTEST_normalized,decision-tree_norm.pkl,VW,0.762247134965054,"(0.21417721518987343, 0.7761611639619475)",0.0164833
MiddlePhalanxTWTEST_normalized,decision-tree_norm.pkl,BU,0.699789574686624,"(0.1037974683544304, 0.5108135942327499)",0.2933789
MiddlePhalanxTWTEST_normalized,decision-tree_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
MiddlePhalanxTWTEST_normalized,logistic-regression_norm.pkl,OS,0.663537634552027,"(0.14481012658227846, 1.0)",26.2082413
MiddlePhalanxTWTEST_normalized,logistic-regression_norm.pkl,RDP,0.76658111728681,"(0.12518987341772156, 0.929128277817151)",0.51418
MiddlePhalanxTWTEST_normalized,logistic-regression_norm.pkl,VW,0.882956670336937,"(0.1672151898734177, 1.0)",0.0165509
MiddlePhalanxTWTEST_normalized,logistic-regression_norm.pkl,BU,0.819010940518525,"(0.1037974683544304, 0.725943970767357)",0.2945411
MiddlePhalanxTWTEST_normalized,logistic-regression_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
MiddlePhalanxTWTEST_normalized,knn_norm.pkl,OS,0.540988339040947,"(0.4492405063291139, 0.858356940509915)",26.1464419
MiddlePhalanxTWTEST_normalized,knn_norm.pkl,RDP,0.569510590158345,"(0.09037974683544306, 0.5233050847457628)",0.5131912
MiddlePhalanxTWTEST_normalized,knn_norm.pkl,VW,0.759449708974337,"(0.21417721518987343, 0.7648902821316614)",0.0165286
MiddlePhalanxTWTEST_normalized,knn_norm.pkl,BU,0.638507290686504,"(0.1037974683544304, 0.37252311756935275)",0.2943909
MiddlePhalanxTWTEST_normalized,knn_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
ECG200TEST_normalized,decision-tree_norm.pkl,OS,0.810198365651853,"(0.18496240601503763, 0.8539638386648123)",25.3435969
ECG200TEST_normalized,decision-tree_norm.pkl,RDP,0.70525612160915,"(0.052781954887218055, 0.6115906288532675)",0.3817672
ECG200TEST_normalized,decision-tree_norm.pkl,VW,0.815023242496617,"(0.13263157894736843, 0.8113207547169812)",0.0126695
ECG200TEST_normalized,decision-tree_norm.pkl,BU,0.807185768070839,"(0.06285714285714285, 0.6592489568845619)",0.1732895
ECG200TEST_normalized,decision-tree_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
ECG200TEST_normalized,logistic-regression_norm.pkl,OS,0.850214852981055,"(0.10962406015037593, 0.9190751445086706)",25.2740144
ECG200TEST_normalized,logistic-regression_norm.pkl,RDP,0.892992969043943,"(0.08751879699248119, 0.8810872027180068)",0.3818591
ECG200TEST_normalized,logistic-regression_norm.pkl,VW,0.907690650307764,"(0.13263157894736843, 1.0)",0.0127215
ECG200TEST_normalized,logistic-regression_norm.pkl,BU,0.901346112267073,"(0.06285714285714285, 0.8446170921198668)",0.1708621
ECG200TEST_normalized,logistic-regression_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
ECG200TEST_normalized,knn_norm.pkl,OS,0.811883564409678,"(0.10962406015037593, 0.7986852917009039)",25.2721006
ECG200TEST_normalized,knn_norm.pkl,RDP,0.739726424761389,"(0.052781954887218055, 0.5412490362374711)",0.3710813
ECG200TEST_normalized,knn_norm.pkl,VW,0.847341684173542,"(0.1581954887218045, 0.9113924050632911)",0.0138986
ECG200TEST_normalized,knn_norm.pkl,BU,0.685846599322843,"(0.06285714285714285, 0.41710825132475393)",0.1703588
ECG200TEST_normalized,knn_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
SonyAIBORobotSurface1TEST_normalized,decision-tree_norm.pkl,OS,0.64405466178175,"(0.19536231884057972, 0.858356940509915)",17.6319719
SonyAIBORobotSurface1TEST_normalized,decision-tree_norm.pkl,RDP,0.716725678033112,"(0.2034782608695652, 0.858356940509915)",0.4180809
SonyAIBORobotSurface1TEST_normalized,decision-tree_norm.pkl,VW,0.786755611883975,"(0.24681159420289855, 0.8962655601659751)",0.0146136
SonyAIBORobotSurface1TEST_normalized,decision-tree_norm.pkl,BU,0.683853992170251,"(0.11260869565217395, 0.48484848484848486)",0.2439507
SonyAIBORobotSurface1TEST_normalized,decision-tree_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
SonyAIBORobotSurface1TEST_normalized,logistic-regression_norm.pkl,OS,0.671739130434783,"(0.19536231884057972, 1.0)",17.6695034
SonyAIBORobotSurface1TEST_normalized,logistic-regression_norm.pkl,RDP,0.857826086956522,"(0.87231884057971, 1.0)",0.4206984
SonyAIBORobotSurface1TEST_normalized,logistic-regression_norm.pkl,VW,0.868550724637681,"(1.0, 1.0)",0.0145028
SonyAIBORobotSurface1TEST_normalized,logistic-regression_norm.pkl,BU,0.985507246376811,"(1.0144927536231882, 1.0)",0.2424976
SonyAIBORobotSurface1TEST_normalized,logistic-regression_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
SonyAIBORobotSurface1TEST_normalized,knn_norm.pkl,OS,0.762173913043478,"(0.7766666666666666, 1.0)",17.5736143
SonyAIBORobotSurface1TEST_normalized,knn_norm.pkl,RDP,0.857826086956522,"(0.87231884057971, 1.0)",0.4225419
SonyAIBORobotSurface1TEST_normalized,knn_norm.pkl,VW,0.868550724637681,"(1.0, 1.0)",0.0144888
SonyAIBORobotSurface1TEST_normalized,knn_norm.pkl,BU,0.985507246376811,"(1.0144927536231882, 1.0)",0.2436074
SonyAIBORobotSurface1TEST_normalized,knn_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
ElectricDevicesTEST_normalized,knn_norm.pkl,OS,0.157157894736842,"(0.16768421052631577, 1.0)",43.4905681
ElectricDevicesTEST_normalized,knn_norm.pkl,RDP,0.165473684210526,"(0.17600000000000005, 1.0)",0.488108
ElectricDevicesTEST_normalized,knn_norm.pkl,VW,0.979052631578947,"(1.0, 1.0)",0.0180762
ElectricDevicesTEST_normalized,knn_norm.pkl,BU,0.989473684210526,"(1.0105263157894735, 1.0)",0.4098512
ElectricDevicesTEST_normalized,knn_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
BMETEST_normalized,decision-tree_norm.pkl,OS,0.642993467435808,"(0.16259842519685042, 1.0)",100.7541727
BMETEST_normalized,decision-tree_norm.pkl,RDP,0.867402349787691,"(0.06291338582677167, 0.8542880932556203)",0.68849
BMETEST_normalized,decision-tree_norm.pkl,VW,0.866671533607968,"(1.0, 1.0)",0.0236162
BMETEST_normalized,decision-tree_norm.pkl,BU,0.873778851071359,"(0.04874015748031496, 0.8126561199000832)",0.475494
BMETEST_normalized,decision-tree_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
BMETEST_normalized,logistic-regression_norm.pkl,OS,0.650697123117159,"(0.07354330708661416, 1.0)",100.8930101
BMETEST_normalized,logistic-regression_norm.pkl,RDP,0.962862457559778,"(0.021102362204724407, 1.0)",0.6851462
BMETEST_normalized,logistic-regression_norm.pkl,VW,0.95007874015748,"(1.0, 1.0)",0.0237643
BMETEST_normalized,logistic-regression_norm.pkl,BU,0.99023884428259,"(0.03015748031496063, 1.0)",0.4745168
BMETEST_normalized,logistic-regression_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
ChinatownTEST_normalized,decision-tree_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
ChinatownTEST_normalized,decision-tree_norm.pkl,BU,0.64280487804878,"(0.15260869565217386, 0.41509433962264153)",0.0506796999999999
ChinatownTEST_normalized,decision-tree_norm.pkl,VW,0.70749558832431,"(0.3665217391304347, 0.875)",0.0056313
ChinatownTEST_normalized,decision-tree_norm.pkl,RDP,0.460152754410991,"(0.043478260869565216, 0.171875)",0.1040072
DistalPhalanxOutlineAgeGroupTEST_normalized,decision-tree_norm.pkl,OS,0.690493356169028,"(0.3140506329113924, 0.7993579454253612)",26.0838133
DistalPhalanxOutlineAgeGroupTEST_normalized,decision-tree_norm.pkl,RDP,0.538923526059901,"(0.14417721518987345, 0.25803792250618307)",0.5702328
DistalPhalanxOutlineAgeGroupTEST_normalized,decision-tree_norm.pkl,VW,0.718633913724246,"(0.26506329113924054, 0.7576177285318559)",0.0161902999999999
DistalPhalanxOutlineAgeGroupTEST_normalized,decision-tree_norm.pkl,BU,0.469031045497304,"(0.06000000000000002, 0.28435114503816794)",0.2857875
DistalPhalanxOutlineAgeGroupTEST_normalized,decision-tree_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
DistalPhalanxOutlineAgeGroupTEST_normalized,logistic-regression_norm.pkl,OS,0.892784810126582,"(0.9054430379746834, 1.0)",26.1114441
DistalPhalanxOutlineAgeGroupTEST_normalized,logistic-regression_norm.pkl,RDP,0.980126582278481,"(0.9927848101265824, 1.0)",0.5470046
DistalPhalanxOutlineAgeGroupTEST_normalized,logistic-regression_norm.pkl,VW,0.876329113924051,"(1.0, 1.0)",0.0161148999999999
DistalPhalanxOutlineAgeGroupTEST_normalized,logistic-regression_norm.pkl,BU,0.97493670886076,"(1.0126582278481016, 1.0)",0.2753914
DistalPhalanxOutlineAgeGroupTEST_normalized,logistic-regression_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
DistalPhalanxOutlineAgeGroupTEST_normalized,knn_norm.pkl,OS,0.774688000307457,"(0.3140506329113924, 1.0)",26.0365666
DistalPhalanxOutlineAgeGroupTEST_normalized,knn_norm.pkl,RDP,0.839800446199769,"(0.14417721518987345, 0.8913043478260869)",0.5533448
DistalPhalanxOutlineAgeGroupTEST_normalized,knn_norm.pkl,VW,0.785819060916139,"(0.20139240506329112, 0.8275862068965517)",0.0160193
