dataset,model,os,rdp,vc,bu,length,instances,avg time os
ChinatownTEST_normalized,cnn_norm.pth,1.81532965,0.2348289,0.01560342,0.12857234,24,343,0.005292506
ChinatownTEST_normalized,knn_norm.pkl,1.81404963,0.23292193,0.01383665,0.12757566,24,343,0.005288774
ItalyPowerDemandTEST_normalized,knn_norm.pkl,5.40061994,0.63169524,0.04520642,0.38179718,24,100,0.054006199
SonyAIBORobotSurface2TEST_normalized,cnn_norm.pth,134.10831115000002,3.7524437700000006,0.12765425,2.28334812,65,953,0.140722257
SonyAIBORobotSurface2TEST_normalized,decision-tree_norm.pkl,134.20327521000002,3.7353143000000006,0.12613664,2.2761906100000004,65,953,0.140821905
SonyAIBORobotSurface2TEST_normalized,logistic-regression_norm.pkl,134.3430282,3.7294474499999994,0.16499560999999996,2.30988422,65,953,0.14096855
MiddlePhalanxOutlineCorrectTEST_normalized,decision-tree_norm.pkl,74.95665924999999,1.4148872,0.0441018,0.8612081999999998,80,291,0.257583021
MiddlePhalanxOutlineCorrectTEST_normalized,logistic-regression_norm.pkl,74.96319867999999,1.47635263,0.08296907,0.8956881099999999,80,291,0.257605494
ECG200TEST_normalized,logistic-regression_norm.pkl,25.227748230000003,0.33455882,0.01198203,0.17951351,96,100,0.252277482
ECG200TEST_normalized,knn_norm.pkl,25.232956020000007,0.3324342999999999,0.01198141,0.18010636,96,100,0.25232956
